fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,Id,quality
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,0,Average
7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,1,Average
7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,2,Average
11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,3,Good
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,4,Average
7.4,0.66,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,5,Average
7.9,0.6,0.06,1.6,0.069,15,59,0.9964,3.3,0.46,9.4,6,Average
7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,7,Very God
7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,8,Very God
6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,10,Average
5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,12,Average
7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,13,Average
8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5,16,Very God
7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,19,Good
7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,21,Average
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,22,Average
8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,23,Average
6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,24,Good
6.3,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3,25,Average
7.6,0.41,0.24,1.8,0.08,4,11,0.9962,3.28,0.59,9.5,26,Average
7.1,0.71,0,1.9,0.08,14,35,0.9972,3.47,0.55,9.4,28,Average
7.8,0.645,0,2,0.082,8,16,0.9964,3.38,0.59,9.8,29,Good
6.7,0.675,0.07,2.4,0.089,17,82,0.9958,3.35,0.54,10.1,30,Average
8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,32,Average
5.2,0.32,0.25,1.8,0.103,13,50,0.9957,3.38,0.55,9.2,34,Average
7.8,0.645,0,5.5,0.086,5,18,0.9986,3.4,0.55,9.6,35,Good
7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,36,Good
8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,37,Very God
